question_id,dimension,subdimension,question_text,target_year_level,response_scale
sa_017,creativity,algorithm_design,How often do you engage in designing efficient algorithms under constraints?,2,1-5
sa_018,creativity,algorithm_design,How comfortable are you with explaining algorithms to others?,3,1-5
sa_019,creativity,system_architecture,How confident are you in system architecture design?,1,1-5
sa_020,creativity,system_architecture,How well do you perform system architecture design?,2,1-5
sa_021,creativity,system_architecture,How often do you engage in system architecture design?,3,1-5
sa_022,creativity,system_architecture,How comfortable are you with system architecture design?,1,1-5
sa_023,creativity,system_architecture,How effectively can you perform system architecture design?,2,1-5
sa_024,creativity,system_architecture,How confident are you in organizing complex project architectures?,3,1-5
sa_025,creativity,system_architecture,How well do you perform incorporating security in architectures?,1,1-5
sa_026,creativity,system_architecture,How often do you engage in proposing maintainable system designs?,2,1-5
sa_027,creativity,system_architecture,How comfortable are you with scalable architecture planning?,3,1-5
sa_028,creativity,ux_design,How confident are you in UX design?,1,1-5
sa_029,creativity,ux_design,How well do you perform UX design?,2,1-5
sa_030,creativity,ux_design,How often do you engage in UX design?,3,1-5
sa_031,creativity,ux_design,How comfortable are you with UX design?,1,1-5
sa_032,creativity,ux_design,How effectively can you perform UX design?,2,1-5
sa_033,creativity,ux_design,How confident are you in designing intuitive user experiences?,3,1-5
sa_034,creativity,ux_design,How well do you perform gathering user feedback?,1,1-5
sa_035,creativity,ux_design,How often do you engage in balancing aesthetics with usability?,2,1-5
sa_036,creativity,ux_design,How comfortable are you with designing accessible interfaces?,3,1-5
sa_037,teamwork,communication_documentation,How confident are you in communication and documentation?,1,1-5
sa_038,teamwork,communication_documentation,How well do you perform communication and documentation?,2,1-5
sa_039,teamwork,communication_documentation,How often do you engage in communication and documentation?,3,1-5
sa_040,teamwork,communication_documentation,How comfortable are you with communication and documentation?,1,1-5
sa_041,teamwork,communication_documentation,How effectively can you perform communication and documentation?,2,1-5
sa_042,teamwork,communication_documentation,How confident are you in structuring documentation for diverse audiences?,3,1-5
sa_043,teamwork,communication_documentation,How well do you perform maintaining clear documentation?,1,1-5
sa_044,teamwork,communication_documentation,How often do you engage in documenting your work?,2,1-5
sa_045,teamwork,communication_documentation,How comfortable are you with creating practical project documentation?,3,1-5
sa_046,teamwork,code_review_collaboration,How confident are you in code review and collaboration?,1,1-5
sa_047,teamwork,code_review_collaboration,How well do you perform code review and collaboration?,2,1-5
sa_048,teamwork,code_review_collaboration,How often do you engage in code review and collaboration?,3,1-5
sa_049,teamwork,code_review_collaboration,How comfortable are you with code review and collaboration?,1,1-5
sa_050,teamwork,code_review_collaboration,How effectively can you perform code review and collaboration?,2,1-5
sa_051,teamwork,code_review_collaboration,How confident are you in giving constructive feedback on code quality?,3,1-5
sa_052,teamwork,code_review_collaboration,How well do you perform reviewing code for best practices?,1,1-5
sa_053,teamwork,code_review_collaboration,How often do you engage in addressing code issues diplomatically?,2,1-5
sa_054,teamwork,code_review_collaboration,How comfortable are you with mentoring during code reviews?,3,1-5
sa_055,teamwork,conflict_resolution,How confident are you in conflict resolution?,1,1-5
sa_056,teamwork,conflict_resolution,How well do you perform conflict resolution?,2,1-5
sa_057,teamwork,conflict_resolution,How often do you engage in conflict resolution?,3,1-5
sa_058,teamwork,conflict_resolution,How comfortable are you with conflict resolution?,1,1-5
sa_059,teamwork,conflict_resolution,How effectively can you perform conflict resolution?,2,1-5
sa_060,teamwork,conflict_resolution,How confident are you in navigating team conflicts effectively?,3,1-5
sa_061,teamwork,conflict_resolution,How well do you perform facilitating consensus?,1,1-5
sa_062,teamwork,conflict_resolution,How often do you engage in balancing individual and team priorities?,2,1-5
sa_063,teamwork,conflict_resolution,How comfortable are you with resolving disagreements?,3,1-5
sa_064,teamwork,leadership_mentoring,How confident are you in leadership mentoring?,1,1-5
sa_065,teamwork,leadership_mentoring,How well do you perform leadership mentoring?,2,1-5
sa_066,teamwork,leadership_mentoring,How often do you engage in leadership mentoring?,3,1-5
sa_067,teamwork,leadership_mentoring,How comfortable are you with leadership mentoring?,1,1-5
sa_068,teamwork,leadership_mentoring,How effectively can you perform leadership mentoring?,2,1-5
sa_069,teamwork,leadership_mentoring,How confident are you in supporting and mentoring teammates?,3,1-5
sa_070,teamwork,leadership_mentoring,How well do you perform coaching peers?,1,1-5
sa_071,teamwork,leadership_mentoring,How often do you engage in guiding team members?,2,1-5
sa_072,teamwork,leadership_mentoring,How comfortable are you with empowering others?,3,1-5
sa_073,teamwork,agile_participation,How confident are you in agile participation?,1,1-5
sa_074,teamwork,agile_participation,How well do you perform agile participation?,2,1-5
sa_075,teamwork,agile_participation,How often do you engage in agile participation?,3,1-5
sa_076,teamwork,agile_participation,How comfortable are you with agile participation?,1,1-5
sa_077,teamwork,agile_participation,How effectively can you perform agile participation?,2,1-5
sa_078,teamwork,agile_participation,How confident are you in facilitating agile ceremonies?,3,1-5
sa_079,teamwork,agile_participation,How well do you perform sprint planning?,1,1-5
sa_080,teamwork,agile_participation,How often do you engage in retrospectives?,2,1-5
sa_081,teamwork,agile_participation,How comfortable are you with adapting to change in agile workflows?,3,1-5
sa_082,soft_skills,time_management,How confident are you in time management?,1,1-5
sa_083,soft_skills,time_management,How well do you perform time management?,2,1-5
sa_084,soft_skills,time_management,How often do you engage in time management?,3,1-5
sa_085,soft_skills,time_management,How comfortable are you with time management?,1,1-5
sa_086,soft_skills,time_management,How effectively can you perform time management?,2,1-5
sa_087,soft_skills,time_management,How confident are you in prioritizing tasks under time pressure?,3,1-5
